"subject","media","auc","missingDay"
"R_0DIRsN6T1darxgl","facebook",271.678955236305,90
"R_0DIRsN6T1darxgl","instagram",6515.24122738816,1
"R_0DIRsN6T1darxgl","netflix",4380.52543105041,3
"R_11hkxUyi1OzyBNV","facebook",4709.54093098803,1
"R_11hkxUyi1OzyBNV","instagram",1552.05085894684,30
"R_11hkxUyi1OzyBNV","netflix",1689.22860626809,90
"R_12zpOAZMx7zRNC4","facebook",8879.32805053,3
"R_12zpOAZMx7zRNC4","instagram",6234.73025095,7
"R_12zpOAZMx7zRNC4","netflix",2893.7454781431,90
"R_1C4o1nZxUqDG6fk","facebook",2899.5112212955,90
"R_1C4o1nZxUqDG6fk","instagram",5847.73626984434,1
"R_1C4o1nZxUqDG6fk","netflix",2227.07885554443,90
"R_1EXq9H9pRyWoNQV","facebook",8041.93865958001,30
"R_1EXq9H9pRyWoNQV","instagram",-588.369186096502,7
"R_1EXq9H9pRyWoNQV","netflix",6073.17056486073,1
"R_1EbnKNIaY17rST0","facebook",5589.92618379421,30
"R_1EbnKNIaY17rST0","instagram",-1031.78043764699,1
"R_1EbnKNIaY17rST0","netflix",6553.321398408,7
"R_1Ed1YdEx6E5WCmC","facebook",7791.27851405327,30
"R_1Ed1YdEx6E5WCmC","instagram",7383.82215546334,14
"R_1Ed1YdEx6E5WCmC","netflix",5958.22286092122,14
"R_1F9UPa9EnhJR2vv","facebook",9192.61872080971,30
"R_1F9UPa9EnhJR2vv","instagram",1891.60941437666,7
"R_1F9UPa9EnhJR2vv","netflix",-230.446220806291,1
"R_1GDhHV5qLQa5RKr","instagram",4884.23842889341,14
"R_1H7gnFBx3O6skY0","facebook",8074.47143354508,1
"R_1H7gnFBx3O6skY0","instagram",-904.039334378489,1
"R_1H7gnFBx3O6skY0","netflix",6484.51850941031,3
"R_1Hdc9ydycvXBBIO","facebook",8385.70382760377,30
"R_1Hdc9ydycvXBBIO","instagram",6119.98619777027,1
"R_1Hdc9ydycvXBBIO","netflix",8924.0575686737,3
"R_1HhhiPPHIlCVJe2","facebook",-10651.8736646689,30
"R_1HhhiPPHIlCVJe2","instagram",4943.05053556003,7
"R_1HhhiPPHIlCVJe2","netflix",4323.37569444783,3
"R_1I6p4gr0yaAmu0o","facebook",2842.73566019423,90
"R_1I6p4gr0yaAmu0o","instagram",1205.0387765979,1
"R_1I6p4gr0yaAmu0o","netflix",2664.83957721053,90
"R_1IaQONlNdHJNcXl","facebook",6526.45427408621,3
"R_1IaQONlNdHJNcXl","instagram",655.945170741213,3
"R_1IaQONlNdHJNcXl","netflix",8594.19091382904,1
"R_1IoegP1vCIDzgmK","facebook",8956.4755346196,30
"R_1IoegP1vCIDzgmK","instagram",6499.41080923471,14
"R_1IoegP1vCIDzgmK","netflix",9237.98251166094,30
"R_1IxQg9Jt9K94Yhk","facebook",-1076.34113685117,1
"R_1IxQg9Jt9K94Yhk","instagram",491.910357680819,90
"R_1IxQg9Jt9K94Yhk","netflix",1136.24462071047,90
"R_1JEqvQsxKnIJ6y8","facebook",6229.75504475139,3
"R_1JEqvQsxKnIJ6y8","instagram",707.975487322457,90
"R_1JEqvQsxKnIJ6y8","netflix",2251.07760968877,90
"R_1JXjPLWers0Pxga","facebook",4147.47386555219,7
"R_1JXjPLWers0Pxga","instagram",8701.80511916731,1
"R_1JXjPLWers0Pxga","netflix",8956.36216960339,7
"R_1K9HxsVXa7jbzUq","facebook",8743.17153568681,1
"R_1K9HxsVXa7jbzUq","instagram",2550.26053128578,1
"R_1K9HxsVXa7jbzUq","netflix",3677.91095036359,14
"R_1KrxdCySIQWlT2c","facebook",284.866240023279,14
"R_1KrxdCySIQWlT2c","instagram",3159.94811364541,3
