"prescreen_key"
"question_id","export_name","question_text","section_id"
"3","Gender","Gender","2"
"4","Ethnicity","Ethnicity","2"
"5","Religion","Religious Affiliation","2"
"6","Native English","Is English your first language?","2"
"7","Years English","How many years have you been speaking English?","2"
"8","Handedness","What is your dominant handedness?","2"
"9","TechView1","The benefits of new technology are often grossly overstated.","5"
"11","TechView2","Society should not depend too heavily on new technologies to solve its problems.","5"
"12","TechView3","It can be risky to switch to new technologies too quickly.","5"
"13","TechView4","I am uncomfortable with how quickly new technologies are being developed.","5"
"14","TechView5","Something that is natural is almost always better than something that is artificially created.","5"
"15","TechView6","I prefer things that are ""tried and true"" over newly developed products.","5"
"16","TechView7","Society should be more cautious with new technologies.","5"
"17","TechView8","I am excited to see what new technologies will be developed in the future.","5"
"18","TechView9","It is fun to read about scientific progress.","5"
"19","TechView10","Developing new technologies will greatly improve people's quality of life.","5"
"20","TechView11","We would live happier lives if society was less focused on new inventions.","5"
"21","TechView12","I like being one of the first people to own or use a new technology.","5"
"22","TechView13","New technologies are interfering with our ability to live our lives as nature intended.","5"
"23","TechView14","I often feel nostalgic for simpler times, before our lives were overcome with modern technology.","5"
"24","depsen1","I get mentally fatigued easily.","6"
"25","depsen2","When I am mentally fatigued, I am easily tempted to do things that are actually no good for me.","6"
"26","depsen3","After I exerted a lot of mental effort, I need to take a rest first before I can do another complicated task.","6"
"27","depsen4","It is hard for me to persist with a difficult task.","6"
"28","depsen5","I have difficulties focusing my attention after I exerted a lot of mental effort.","6"
"29","depsen6","When I'm tired I have difficulties concentrating.","6"
"30","depsen7","At the end of a working day I often have difficulties staying focused.","6"
"31","depsen8","When I'm tired I sometimes have difficulties to remain friendly or polite.","6"
"32","depsen9","After I have worked very hard at something, I am not good at reloading to start a new task.","6"
"33","FH_1","Eating healthy food is something I do frequently.","7"
"34","FH_2","Eating healthy food is something I do automatically.","7"
"35","FH_3","Eating healthy food is something I do without having to consciously remember.","7"
"36","FH_4","Eating healthy food is something that makes me feel weird if I do not do it.","7"
"37","FH_5","Eating healthy food is something I do without thinking.","7"
"38","FH_6","Eating healthy food is something that would require effort NOT to do it.","7"
"39","FH_7","Eating healthy food is something that belongs to my daily routine.","7"
"40","FH_8","Eating healthy food is something I start doing before realizing I'm doing it.","7"
"41","FH_9","Eating healthy foods is something I would find hard NOT to do.","7"
"42","FH_10","Eating healthy foods is something I have no need to think about doing.","7"
"43","FH_11","Eating healthy foods is something that's typically 'me'.","7"
"44","FH_12","Eating healthy foods is something I have been doing for a long time.","7"
"66","neurology","Have you ever been diagnosed with any neurological illness, such as meningitis, encephalitis, or stroke?","9"
"67","headinjury","Have you ever had any head injuries where you were unconscious for at least 20 minutes?","9"
"68","have you ever","Have you ever been diagnosed with ADHA, autism, Asperger's or another developmental disorder?","9"
"69","hearingimp","Do you have any non-correctable hearing impairments?","9"
"70","visionimp","Do you have any non-correctable vision impairments (i.e., any vision concerns that cannot be corrected by wearing eye glasses or contact lenses)?","9"
"71","yrs_music","In total, how many years of private music training have you received? (NOTE: Private training refers to one-on-one lessons with a music instructor, not school music or group lessons)","10"
"72","yrs_inf_music","In total, how many years have you participated in a school-based or group music ensemble? (ex. Playing in a band or singing in a choir).","10"
"73","ins_experience","Please list any instruments that you play (including singing), and indicate how many years you have been playing each of these instruments. Please write N/A if not applicable.","10"
"74","current_mus_par","About how many hours per week do you CURRENTLY sing or play a musical instrument?","10"
"75","musicgenre","What genre of music do you play on an instrument or sing MOST OFTEN?","10"
"76","ageoftrainonset","At what age did you start taking music lessons? (Privately, in-school, or group lessons). Please write N/A if not applicable.","10"
"77","hrs_listening","On average, how many hours per week do you listen to music?","10"
"79","music_theory","Have you ever taken lessons in music theory? If so, what is the highest level Royal Conservatory of Music level (RCM), or equivalent, that you have obtained?","10"
"80","perfectpitch","Do you have perfect/absolute pitch?","10"
"81","music_reading","In your opinion, how strong is your music reading ability?","10"
"82","music_comp","Do you compose music?","10"
"83","areyou","Do you consider yourself to be a musician?","10"
"84","meat_eat","Which of the following options best classifies you? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"85","personal_eat","When thinking about what you personally eat, what is your attitude toward eating meat? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"86","people_general","When thinking about what people in general eat, what is your attitude toward other people eating meat? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"87","vege_idea","In general how do you feel about the idea of vegetarianism?","11"
"88","meat_health","How much do you believe eating meat is important for maintaining good health? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"89","meat_enviro","How much do you believe eating meat has harmful effects on the environment? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"90","animalsuffering","How much do you believe eating meat causes suffering to animals? By “meat” we mean any animal parts whether from a cow, pig, chicken, fish, or any other animal.","11"
"91","meat_taste","Overall, when thinking about most meats, how would you rate them on tastiness?","11"
"96","meat_reflection","To what extent is your position on eating meat a reflection of your core moral beliefs and convictions?","11"
"97","right_wrong","To what extent are your feelings about eating meat deeply connected to your beliefs about “right” and “wrong”?","11"
"98","meat_issue","To what extent do you feel the issue of eating meat is a moral issue (an issue where your attitude is based on moral values)?","11"
"99","meat_pay","If someone were to pay you to eat meat, how much money would you require to do it?","11"
"100","meat_extent","When thinking about eating meat, to what extent do you “just know” that it is wrong?","11"
"102","meat_guilt","When you eat meat how strongly do you feel the following emotion: Guilt?","11"
"103","meat_shame","When you eat meat how strongly do you feel the following emotion: Shame?","11"
"104","meat_disgust","When you eat meat how strongly do you feel the following emotion: Disgust?","11"
"105","meat_anger","When you eat meat how strongly do you feel the following emotion: Anger?","11"
"106","meat_outrage","When you eat meat how strongly do you feel the following emotion: Outrage?","11"
"107","meat_sadness","When you eat meat how strongly do you feel the following emotion: Sadness?","11"
"108","meat_human_sad","When thinking about the animals that are involved in humans eating meat how strongly do you feel the following emotion: Sadness?","11"
"109","meat_human_symp","When thinking about the animals that are involved in humans eating meat how strongly do you feel the following emotion: Sympathy?","11"
"110","meat_human_comp","When thinking about the animals that are involved in humans eating meat how strongly do you feel the following emotion: Compassion?","11"
"121","phms_1","I am aware of what thoughts are passing through my mind.","14"
"122","phms_2","I try to distract myself when I feel unpleasant emotions.","14"
"123","phms_3","When talking with other people, I am aware of their facial and body expressions.","14"
"124","phms_4","There are aspects of myself I don't want to think about.","14"
"125","phms_5","When I shower, I am aware of how the water is running over my body.","14"
"126","phms_6","I try to stay busy to keep thoughts or feelings from coming to mind.","14"
"127","phms_7","When I am startled, I notice what is going on inside my body.","14"
"128","phms_8","I wish I could control my emotions more easily.","14"
"129","phms_9","When I walk outside, I am aware of smells or how the air feels against my face.","14"
"130","phms_10","I tell myself that I shouldn't have certain thoughts.","14"
"131","phms_11","When someone asks how I am feeling, I can identify my emotions easily.","14"
"132","phms_12","There are things I try not to think about.","14"
"133","phms_13","I am aware of thoughts I'm having when my mood changes.","14"
"134","phms_14","I tell myself that I shouldn't feel sad.","14"
"135","phms_15","I notice changes inside my body, like my heart beats faster or muscles get tense.","14"
"136","phms_16","If there is something I don't want to think about, I'll try to get it out of my mind.","14"
"137","phms_17","Whenever my emotions change, I am conscious of them immediately.","14"
"138","phms_18","I try to put problems out of mind.","14"
"139","phms_19","When talking with other people, I am aware of the emotions I am experiencing.","14"
"140","phms_20","When I have a bad memory, I try to distract myself to make it go away.","14"
"141","Bell let's talk","Are you familiar with the Bell Let's Talk mental health initiative?","2"
"149","Date of birth","Date of birth. Please format as yyyy-mm-dd (example: 1996-04-16)","2"
