"subjectID","addictionProne_m_overall","materialism_m_overall","materialism_m_success","materialism_m_centrality","materialism_m_happiness","socialNet_m_overall","selfControl_m_overall","procrastination_m_overall","bigFive_m_overall","bigFive_m_extroversion","bigFive_m_agreeableness","bigFive_m_conscientiousness","bigFive_m_neuroticism","bigFive_m_openness","wellBeing1_m_overall","wellBeing1_m_spane_p","wellBeing1_m_spane_n","wellBeing2_m_overall","ResponseID","age","gender","ethnicity","ses","life_satisfaction","adblock_computer","adblock_phone","a_prime","netflix","foodora","uber_eats","facebook_rank","instagram_rank","snapchat_rank","twitter_rank","youtube_rank","netflix_rank","tumblr_rank","weibo_rank","ads1","ads2","ads3","ads4","ads5","noAd_price","predict_1","predict_5","predict_10","predict_20","facebook_years","instagram_years","snapchat_years","twitter_years","youtube_years","netflix_years","tumblr_years","weibo_years","facebook_mins","instagram_mins","snapchat_mins","twitter_mins","youtube_mins","netflix_mins","tumblr_mins","weibo_mins","percent_phone","main_reason","less_time","distraction","healthier","procrast","fin_resp","never_invent","o_12_1","weekly_sm_time","daily_sm_time"
1,0.714285714285714,2.22222222222222,2.5,2.57142857142857,1.4,3.37931034482759,3,2.83333333333333,3.70454545454545,3.5,5,3.88888888888889,1.75,4.1,3.16666666666667,5,1.33333333333333,7,"R_3O69NLBXdFBcYTa",17,"m","southeast asian/indian","",1,1,0,0,0,0,0,5,1,2,6,4,3,7,8,7,1,1,7,4,49,4,5,6,6,4,3,3,0,8,5,0,0,10,45,20,0,26,20,0,0,70,"interact with friends",3,4,4,2,3,4,672,725,121
2,0.761904761904762,3.22222222222222,3.33333333333333,3.28571428571429,3,4.60714285714286,2.92307692307692,4,3.52272727272727,3.5,3.66666666666667,3.33333333333333,3.375,3.7,3.66666666666667,4,3.33333333333333,6.5,"R_3s4iQGWVwMCpT0W",18,"f","hispanic/latino","",2,0,0,0,1,0,0,5,1,2,6,3,4,7,8,3,3,2,2,3,2,4,4,5,5,6,5,5,6,10,3,0,0,60,180,180,0,90,180,0,0,100,"hobby related",1,1,6,1,1,6,1343,1394,690
3,0.80952380952381,3.05555555555556,3.33333333333333,2.71428571428571,3.2,5.13793103448276,3.46153846153846,2.58333333333333,3.15909090909091,2.625,3,3.66666666666667,3.125,3.3,3.5,4,3,5,"R_PFX2ZYYc6YpAdfr",17,"m","hispanic/latino","4",2,0,0,0,1,0,0,7,3,5,6,2,4,1,8,5,3,3,6,5,5,4,4,5,6,1,6,3,2,8,6,2,0,0,45,10,0,100,0,90,0,35,"entertainment",3,5,3,3,3,6,1404,1414,245
4,0.714285714285714,2.94444444444444,3.16666666666667,2.28571428571429,3.6,6.55172413793103,2.84615384615385,2.75,3.09090909090909,2.875,2.88888888888889,3,3.25,3.4,3,3,3,4,"R_3isRou3isih4yjz",18,"m","asian/asian canadian","5",4,1,0,0,0,0,0,4,3,2,6,1,5,7,8,7,1,1,7,7,0,4,4,4,4,10,4,3,1,10,0,0,0,180,180,180,0,180,0,0,0,100,"boredom",4,4,4,4,4,4,NA,NA,720
5,0.666666666666667,2.83333333333333,2.5,3.42857142857143,2.4,7.89655172413793,3.07692307692308,3.5,3.27272727272727,2.375,4.22222222222222,3.11111111111111,2.875,3.6,3.5,4.33333333333333,2.66666666666667,6.125,"R_ZrGrdS3vOWRxJnj",18,"f","asian/asian canadian","",3,1,0,1,1,0,1,4,3,2,6,1,5,7,8,4,3,3,5,4,NA,4,4,5,6,9,3,5,3,8,2,0,0,60,90,120,0,120,90,0,0,70,"entertainment",3,4,3,1,1,7,1831,1844,480
6,0.523809523809524,3,2.83333333333333,2.85714285714286,3.4,10.4642857142857,2.53846153846154,4.25,3.36363636363636,3.625,3,3.22222222222222,2.875,4,3.16666666666667,4.66666666666667,1.66666666666667,5.75,"R_8uHNpF1bXxG7fHP",18,"m","asian/asian canadian","5",2,1,1,0,0,0,0,1,3,2,5,4,6,7,8,1,7,7,4,5,5,4,4,5,6,10,6,6,0,10,2,0,0,180,180,60,0,180,0,0,0,82,"interact with friends",7,7,3,3,4,7,2319,2332,600
7,0.666666666666667,3.16666666666667,3,3,3.6,3.27586206896552,3.23076923076923,3,3.61363636363636,3.125,4,3.66666666666667,3.5,3.7,2.75,2.5,3,4.5,"R_XLpcCWpAvUtfgkN",18,"f","southeast asian/indian","",3,1,0,0,1,0,0,6,1,3,7,4,5,2,8,4,3,2,4,5,3,4,4,5,5,4,6,7,0,10,3,0,0,17,60,62,0,29,47,0,0,80,"interact with friends",4,4,3,2,5,6,2014,2045,215
8,0.714285714285714,3,2.33333333333333,3.28571428571429,3.4,6.31034482758621,2.61538461538462,2.66666666666667,3,2.625,3.44444444444444,2.88888888888889,3.125,2.9,2.91666666666667,2.5,3.33333333333333,3.5,"R_2ASkfzdWUkAHgEN",18,"f","asian/asian canadian","7",3,0,0,0,0,0,1,4,1,5,6,2,3,7,8,7,1,1,4,4,0,4,4,4,5,8,6,4,0,10,0,0,0,30,60,10,0,120,0,0,0,90,"entertainment",3,4,3,4,3,5,550,580,220
10,0.714285714285714,2.94444444444444,2.33333333333333,3.14285714285714,3.4,5.31034482758621,1.61538461538462,4.75,2.84090909090909,2.875,3,2.55555555555556,2.75,3,3,3.33333333333333,2.66666666666667,4.25,"R_2tlkgnfglKX0TqF",19,"m","asian/asian canadian","6",4,0,0,1,0,0,1,6,4,7,3,1,5,8,2,7,1,1,7,7,100,4,4,5,6,0,0,0,0,2,0,0,4,0,0,0,0,60,0,0,30,45,"see other people",1,1,1,1,1,5,672,697,90
11,0.428571428571429,3.22222222222222,3,3.71428571428571,2.8,3.58620689655172,2.84615384615385,3.58333333333333,3,3.125,3,2.88888888888889,3.25,2.8,2.75,2.33333333333333,3.16666666666667,3.875,"R_1jNVIvOo2VZ96jp",18,"f","southeast asian/indian","5",2,1,0,0,0,0,0,5,1,4,6,3,2,7,8,7,1,1,7,7,25,4,4,4,5,7,6,4,5,5,2,0,0,13,75,25,0,85,0,0,0,70,"see other people",3,3,4,1,2,7,NA,NA,198
